iter	Passed	Remaining
587	1430	1002
588	1433	1000
589	1436	997
590	1439	995
591	1441	993
592	1444	991
593	1448	990
594	1451	988
595	1454	985
596	1456	983
597	1461	982
598	1464	980
599	1466	977
600	1470	975
601	1472	973
602	1477	972
603	1480	970
604	1482	968
605	1485	965
606	1490	965
607	1493	962
608	1496	960
609	1499	959
610	1503	957
611	1506	955
612	1509	953
613	1513	951
614	1517	950
615	1519	947
616	1520	943
617	1521	940
618	1522	937
619	1525	935
620	1528	932
621	1531	930
622	1534	928
623	1536	925
624	1539	923
625	1544	922
626	1546	920
627	1549	917
628	1551	915
629	1552	911
630	1556	910
631	1559	908
632	1562	905
633	1564	903
634	1571	903
635	1575	901
636	1581	901
637	1586	900
638	1596	902
639	1599	899
640	1602	897
641	1606	895
642	1609	893
643	1612	891
644	1615	889
645	1620	887
646	1623	885
647	1626	883
648	1628	880
649	1629	877
650	1630	874
651	1631	870
652	1632	867
653	1633	864
654	1634	860
655	1636	857
656	1636	854
657	1637	851
658	1638	847
659	1639	844
660	1640	841
661	1641	838
662	1642	834
663	1643	831
664	1644	828
665	1645	825
666	1646	821
667	1647	818
668	1647	815
669	1648	812
670	1649	808
671	1650	805
672	1651	802
673	1652	799
674	1652	795
675	1653	792
676	1654	789
677	1655	786
678	1655	782
679	1656	779
680	1657	776
681	1657	773
682	1658	769
683	1659	766
684	1660	763
685	1661	760
686	1661	757
687	1662	753
688	1663	750
689	1663	747
690	1664	744
691	1665	741
692	1666	738
693	1666	734
694	1667	731
695	1668	728
696	1669	725
697	1670	722
698	1670	719
699	1671	716
700	1671	713
701	1672	709
702	1672	706
703	1673	703
704	1674	700
705	1674	697
706	1675	694
707	1676	691
708	1677	688
709	1678	685
710	1679	682
711	1680	679
712	1680	676
713	1681	673
714	1682	670
715	1683	667
716	1683	664
717	1684	661
718	1684	658
719	1685	655
720	1686	652
721	1687	649
722	1687	646
723	1688	643
724	1689	640
725	1690	637
726	1691	635
727	1691	632
728	1692	629
729	1693	626
730	1693	623
731	1694	620
732	1695	617
733	1696	614
734	1696	611
735	1697	608
736	1698	605
737	1698	603
738	1699	600
739	1700	597
740	1700	594
741	1701	591
742	1702	588
743	1703	586
744	1704	583
745	1705	580
746	1705	577
747	1706	574
748	1707	572
749	1707	569
750	1708	566
751	1709	563
752	1709	560
753	1710	558
754	1711	555
755	1711	552
756	1712	549
757	1713	547
758	1714	544
759	1715	541
760	1716	539
761	1717	536
762	1718	533
763	1719	531
764	1719	528
765	1720	525
766	1720	522
767	1721	520
768	1722	517
769	1722	514
770	1723	511
771	1723	509
772	1724	506
773	1725	503
774	1726	501
775	1727	498
776	1728	496
777	1728	493
778	1729	490
779	1730	488
780	1731	485
781	1731	482
782	1732	480
783	1732	477
784	1733	474
785	1734	472
786	1734	469
787	1735	466
788	1736	464
789	1736	461
790	1737	459
791	1738	456
792	1739	454
793	1740	451
794	1741	449
795	1742	446
796	1743	443
797	1743	441
798	1744	438
799	1744	436
800	1745	433
801	1746	431
802	1746	428
803	1747	426
804	1748	423
805	1749	421
806	1750	418
807	1751	416
808	1752	413
809	1753	411
810	1754	408
811	1755	406
812	1755	403
813	1756	401
814	1756	398
815	1757	396
816	1758	393
817	1759	391
818	1759	388
819	1760	386
820	1760	383
821	1761	381
822	1762	378
823	1762	376
824	1763	374
825	1764	371
826	1765	369
827	1766	366
828	1766	364
829	1767	361
830	1767	359
831	1768	357
832	1769	354
833	1769	352
834	1770	349
835	1770	347
836	1771	344
837	1772	342
838	1772	340
839	1773	337
840	1774	335
841	1775	333
842	1776	330
843	1776	328
844	1777	326
845	1778	323
846	1778	321
847	1779	318
848	1779	316
849	1780	314
850	1781	311
851	1782	309
852	1783	307
853	1783	304
854	1784	302
855	1785	300
856	1786	298
857	1787	295
858	1788	293
859	1788	291
860	1789	288
861	1790	286
862	1790	284
863	1791	282
864	1792	279
865	1792	277
866	1793	275
867	1794	272
868	1794	270
869	1795	268
870	1796	266
871	1797	263
872	1798	261
873	1799	259
874	1800	257
875	1801	255
876	1802	252
877	1803	250
878	1803	248
879	1804	246
880	1804	243
881	1805	241
882	1806	239
883	1806	237
884	1807	234
885	1808	232
886	1808	230
887	1809	228
888	1810	226
889	1810	223
890	1811	221
891	1812	219
892	1813	217
893	1814	215
894	1815	213
895	1816	210
896	1817	208
897	1817	206
898	1818	204
899	1819	202
900	1819	199
901	1820	197
902	1820	195
903	1821	193
904	1822	191
905	1823	189
906	1823	187
907	1824	184
908	1825	182
909	1825	180
910	1826	178
911	1827	176
912	1828	174
913	1829	172
914	1830	170
915	1831	167
916	1832	165
917	1832	163
918	1833	161
919	1834	159
920	1835	157
921	1835	155
922	1836	153
923	1837	151
924	1838	149
925	1839	146
926	1840	144
927	1841	142
928	1841	140
929	1842	138
930	1843	136
931	1843	134
932	1844	132
933	1845	130
934	1846	128
935	1846	126
936	1847	124
937	1847	122
